,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
TG101209,-0.15858595711447604,0.06665942327958238,0.16706952626866778,0.0010692111844201227,-0.29486748519594885,0.2568208227866402,0.3240952971891097,-0.15848502218637278,0.05912935343516318,0.02071887873405223,-0.10960767348775702,0.004065279903954855,0.2804720051860745,0.06776050194052678,-0.04656873608290411,0.20260242477037424,-0.43363107096618636,-0.000989056596167969,0.29179403912387336,0.2884567849196083,-0.023995298027168818,0.06976085199308452,-0.4292683274857184,-0.2514816175349021,-0.2179458052724459
OSI-906 (Linsitinib),-0.02177260400132241,0.03582066174374433,0.016689691530905333,0.010562150341994333,-0.06388602203478515,0.05395586732692696,0.047101678739200556,0.0221459755992699,0.0052800765128104225,-0.02021012663541282,0.005485330674039586,0.005738109827918845,0.035258501090300445,-0.002666312530329805,0.042157812257101725,0.16047774047209815,0.0038688624606892526,0.005538186354219853,-0.06327456991953515,0.027824797867650842,-0.05104850119398091,-0.04539890724366361,-0.09511904493442255,0.0020688373553530057,0.09850618156242771
"Tofacitinib (CP-690550,Tasocitinib)",-0.020065636395535,0.0064532516634538215,0.01572824191511719,0.019431018540515748,0.015600590840798127,0.030205045896003896,0.03971868199132332,-0.010159352101254297,-0.005901472033870716,-0.01811467657541783,0.01088919794195663,0.01559752462881805,0.03601403149418403,0.041039792755635456,-0.012659384033335594,0.0737446495129379,0.01285033348070079,0.0141579929046737,0.004291581005553767,0.06662121090194018,-0.03197821641187152,-0.01460446093932043,-0.0711113458734628,0.027993310869663363,0.0846266857733576
GDC-0879,-0.021906952089981523,0.024809212674361387,0.03737792915468613,0.000845125371949923,-0.0655141221406189,0.059959560677537535,0.09578564046281934,-0.00910810415112246,0.012163466813716228,0.034691588781105606,-0.020701176078016723,0.020004253974763436,0.07210512522513321,-0.037353247427314204,0.01871473151179654,0.11512157879817837,-0.09628330345900347,0.0008399752303911059,0.037318429275804,0.024075961635169264,-0.040416185420617076,0.008563721515689984,-0.05225281114131238,-0.12079073147170365,0.07899342118422945
Go 6983,-0.01562917183235645,0.04371744834404,0.023707912937073236,-0.06143688214857569,-0.11115838929849342,0.037295307532419955,0.06360395344429384,-0.007142776203947117,-0.0026709087361987205,0.03256147285284162,0.00553510247533057,-0.021480652031629126,0.07075968677119261,-0.10655173380486307,0.11216543380985869,0.09995538992387484,0.028825492631376647,0.041901848917261626,0.01678436786030533,0.0769596617534573,-0.1454263841014337,-0.007217667043212195,-0.10678604057666216,0.032570870354165865,-0.08273126134577782
Triciribine,-0.06064966223091185,0.05360185449916201,0.11009706543061312,-0.05922006908442864,-0.1801882995542899,0.16447033979967984,0.1724382429915308,-0.12095251587304767,0.054657219071855535,0.056629692741439294,-0.029005995682135167,0.03009745358049899,0.12571588249216956,-0.05791845811458539,0.05727836473421473,0.22230760827790658,-0.21451939256125008,-0.009306690929191345,0.08964566564901269,0.08900100698961295,-0.040052366960930175,0.07392346857151214,-0.1885079092351083,-0.0018874401165581798,0.03428698240748425
BMS-833923,0.006582616998633317,0.03235189944599085,0.00923628876347592,-0.05074072312953504,-0.09640831806109941,-0.04864867401194695,0.0038262408337952254,0.0018414900503113407,-0.014893539060551903,0.09284118937082814,0.04579254593115227,0.012833431575665171,0.026474225846559295,-0.05817761343079834,0.020836267628824658,0.05963666439598854,-0.01990475718381389,0.018878158652640697,-0.003923510307941244,0.034335713766827945,-0.05016218202490021,0.04198897470447912,-0.17513548296784937,-0.05574490795808712,-0.02396837888658686
SNS-032 (BMS-387032),-0.07804301332664658,0.07078684233934787,0.0685697854596375,-0.007517637388524704,-0.12359452939971498,0.10363795156754933,0.1607479677291857,-0.07807835838394231,0.024923456409663973,0.023025589015441564,-0.0017557284141471049,0.01395881121583897,0.10240648556606777,-0.0033824922003788775,0.02660555496342628,0.17658609829654587,-0.1440118311442024,-0.02670474699902229,0.08204165276925403,0.12210681082488324,-0.0423021591809884,0.0295772880875798,-0.22144302760986112,-0.08760611743288604,-0.030030360926719353
RepSox,-0.03284578121818465,0.026548535070432096,0.04910232006491266,0.010794461559411293,-0.07137594053716337,0.027556619662724914,0.13476386751841699,-0.07679999729999186,0.02579213909132182,0.025057091625487464,-0.03010530179893069,0.005683112033066854,0.07213912109370571,0.007578693848219105,-0.02437648438818426,0.1572476293875909,-0.13364927775850727,0.013541909080215724,0.00022784209908470126,0.11626662031609962,-0.0806937520504057,0.019095429772250847,-0.044263095570806564,-0.055307817922851235,0.0675556164638344
WZ3146,-0.036536258660485585,0.030500541828173834,0.04608029414275216,-0.008082786325714762,-0.04246065894821312,0.07480742522046505,0.06514404072339307,0.0029806774707325187,0.0013115085879910064,-0.038671944235502964,-0.03238656314667595,-0.0016257417363559983,0.06428645417384912,-0.00798024664784119,0.07976242247677892,0.16278743914243754,-0.06146612049049065,-0.03598160329033532,0.07043808557837697,0.037551587067084044,-0.08879766018103148,0.013234969691967403,-0.05700731503674622,0.006722840254360439,0.09594901100101776
WIKI4,-0.04340588389170677,0.032637052253654805,0.014317130843705237,-0.04085525771884348,-0.03206485120040177,0.0471373806721737,0.06336537071996609,-0.0012211039664434121,0.011392017990297296,-0.016397148783131078,0.011865729785818912,0.000617598255741137,0.04867617491990385,0.020731401272196925,0.05689050313956863,0.15647245170961066,-0.0235226581841237,-0.029593366920602066,0.09430669073694564,0.07047036509597629,-0.07283865465987312,0.0905243271267553,-0.12859897184184182,0.052995777937706504,0.16392197569138245
Tivozanib (AV-951),-0.008276032764060939,0.041123058176712295,0.04329397407452804,-0.03865948209859728,-0.09114195900831583,0.008905810043244632,0.10613364082247383,-0.04455313751606553,0.010268710631782021,0.07346789173052073,-0.0046020587796402,0.021750670552620532,0.05841490516333049,-0.13745504653153276,-0.030364421832256072,-0.006647015361730693,-0.07293715252945764,0.011625248116255187,-0.06125748929638604,0.11832127431257548,0.060617712032595195,-0.06683504293005546,-0.07098270723388085,-0.04973202888892812,-0.050986879573635124
Pacritinib (SB1518),-0.10608085480204517,0.07323173178210082,0.08713264856048054,-0.023660278037476147,-0.1684207432589127,0.09968753134446973,0.20591468627010417,-0.07358416308280051,0.018248367369216704,0.049011384983410525,-0.044119264764237706,0.014522518689270259,0.18596382890007887,0.034766832028395686,0.05825736637248332,0.1947377554253266,-0.23402650314737308,0.0017406594561746997,0.1634456163125615,0.19994434222032453,-0.13223595473773347,0.07599618209621664,-0.3491192509557034,-0.0360564412051566,-0.21153065976440827
CHIR-99021 (CT99021),-0.05304771397910971,0.06690232201135204,0.045074531827229064,-0.05839581013418295,-0.09452775977247757,0.036387909956221716,0.11940202580946975,-0.0546222671907947,0.015699786164281145,0.06468371032497436,-0.01232676122315291,0.023309857884819346,0.0681008783865405,-0.07090086437313821,0.03640116995287927,0.06748048755200234,-0.08001144208341934,-0.011427365789624864,0.05429262804864787,0.12139576880730182,-0.06512828688538151,0.0801300115147295,-0.12512193453508544,-0.03308762798437491,-0.09512234384057436
Vacquinol-1,-0.05652624476003878,0.04688977917840019,0.061461702487812575,-0.007109074039705886,-0.10659105610480162,0.07924815619914387,0.12851954058783527,-0.062359819529348735,0.013790269893912235,0.0348396414111421,-0.0002801052746641468,0.0018737159161383403,0.06887759376406512,-0.0075857904728900815,0.026496600697596316,0.18822236106363222,-0.1356203532565398,-0.0241300370316269,0.04517062703904501,0.09892398960311471,-0.01433034471272523,0.012438017745253011,-0.17756506745904924,-0.04979852063380444,0.01526741560150396
MGCD-265,-0.019454176861816507,0.016255864610278326,0.02795696622717061,0.006667726800754096,-0.0462436654256223,0.026872695096291456,0.07468720228944474,-0.033080287433506,0.007229156034803515,0.033212088390514205,-0.04155150724586436,-0.01981291719293945,0.07239347897468916,-0.031592729026627644,-0.025962651569338413,0.07486176927276386,-0.10889268866211703,-0.010297099185746134,0.09713123621268971,0.05597993709956599,-0.01306011435622317,0.0003433383613787548,-0.13672629536333664,-0.10180114509387309,0.15457920349336024
BLZ945,-0.02115568165091427,0.025529030199508123,0.0318243666328354,0.0033632061385957986,-0.03544602691368888,-0.0022329941777593917,0.09124458181578757,-0.027180115318507465,0.028735753183902903,0.014778307712723242,-0.000982027199036718,-0.0015402938077304317,0.044486548875324994,0.06650014357768064,-0.03218960148023382,0.11863713602091128,-0.05244873961200035,0.0005205705468569902,0.05301992101561555,0.02964833520984849,-0.03469723172125347,0.0018249504679950916,-0.1460582707508084,-0.08240643868083092,0.023094088857331482
